fold,threshold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
5,0.3,0.1,0.5,"0:1.0,1:2.0",1895,0.18055555555555555,0.2708333333333333,0.21666666666666667,0.6944772012578617,0.8978260869565218
1,0.3,0.1,0.5,"0:1.0,1:4.0",1872,0.5138888888888888,0.13857677902621723,0.2182890855457227,0.6974381625441696,0.7122692725298588
2,0.3,0.1,0.5,"0:1.0,1:4.0",1859,0.5205479452054794,0.14559386973180077,0.2275449101796407,0.7055925303696045,0.7198697068403909
3,0.3,0.1,0.5,"0:1.0,1:4.0",1883,0.410958904109589,0.11450381679389313,0.1791044776119403,0.6546265184802275,0.7014115092290988
4,0.3,0.1,0.5,"0:1.0,1:4.0",1912,0.4166666666666667,0.10204081632653061,0.16393442622950818,0.6308470911949686,0.6673913043478261
5,0.3,0.1,0.5,"0:1.0,1:4.0",1895,0.5694444444444444,0.14855072463768115,0.23563218390804597,0.6957055817610063,0.7108695652173913
1,0.3,0.1,0.5,"0:1.0,1:6.0",1872,0.6805555555555556,0.11722488038277512,0.2,0.6978634995419447,0.5743756786102063
2,0.3,0.1,0.5,"0:1.0,1:6.0",1859,0.7671232876712328,0.13053613053613053,0.22310756972111553,0.7060933057637632,0.5765472312703583
3,0.3,0.1,0.5,"0:1.0,1:6.0",1883,0.7397260273972602,0.12442396313364056,0.21301775147928995,0.6551272938743861,0.5667752442996743
4,0.3,0.1,0.5,"0:1.0,1:6.0",1912,0.6527777777777778,0.10262008733624454,0.17735849056603772,0.6324030398322851,0.5260869565217391
5,0.3,0.1,0.5,"0:1.0,1:6.0",1895,0.75,0.12471131639722864,0.21386138613861386,0.6972779088050314,0.5684782608695652
1,0.3,0.1,0.8,none,1872,0.0,0.0,0.0,0.6813898704358068,0.9218241042345277
2,0.3,0.1,0.8,none,1859,0.0,0.0,0.0,0.6873546135952442,0.9207383279044516
3,0.3,0.1,0.8,none,1883,0.0,0.0,0.0,0.6515895580253296,0.9196525515743756
4,0.3,0.1,0.8,none,1912,0.0,0.0,0.0,0.6246560534591195,0.9217391304347826
5,0.3,0.1,0.8,none,1895,0.0,0.0,0.0,0.691185141509434,0.9217391304347826
1,0.3,0.1,0.8,balanced,1872,0.9444444444444444,0.09985315712187959,0.1806108897742364,0.6969473890851983,0.3300760043431053
2,0.3,0.1,0.8,balanced,1859,0.9178082191780822,0.09852941176470588,0.17795484727755645,0.7047848281209614,0.3279044516829533
3,0.3,0.1,0.8,balanced,1883,0.9178082191780822,0.09867452135493372,0.17819148936170212,0.6560157663478936,0.3289902280130293
4,0.3,0.1,0.8,balanced,1912,0.875,0.09224011713030747,0.16688741721854305,0.6326814727463312,0.31630434782608696
5,0.3,0.1,0.8,balanced,1895,0.9305555555555556,0.09463276836158192,0.1717948717948718,0.6956728249475891,0.29782608695652174
1,0.3,0.1,0.8,"0:1.0,1:2.0",1872,0.1111111111111111,0.16,0.13114754098360656,0.6916470357283078,0.8849077090119435
2,0.3,0.1,0.8,"0:1.0,1:2.0",1859,0.0958904109589041,0.20588235294117646,0.1308411214953271,0.693444688550013,0.8990228013029316
3,0.3,0.1,0.8,"0:1.0,1:2.0",1883,0.0684931506849315,0.11627906976744186,0.08620689655172414,0.6544649780304989,0.8849077090119435
4,0.3,0.1,0.8,"0:1.0,1:2.0",1912,0.125,0.17307692307692307,0.14516129032258066,0.6257861635220127,0.8847826086956522
5,0.3,0.1,0.8,"0:1.0,1:2.0",1895,0.18055555555555555,0.29545454545454547,0.22413793103448276,0.6935927672955976,0.9021739130434783
