threshold,C,l1_ratio,class_weight,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,balanced_score,is_best
0.3,10.0,0.5,balanced,0.9004946727549467,0.0514715859628338,0.09931399808165323,0.006644711908415625,0.17889439367249255,0.011776336466389396,0.6753709971667653,0.03208924174953299,0.3495484586696879,0.014659214702096976,0.47477469919837345,False
0.3,10.0,0.8,balanced,0.9004946727549467,0.0514715859628338,0.09931399808165323,0.006644711908415625,0.17889439367249255,0.011776336466389396,0.6753224375705886,0.032101700788150965,0.3495484586696879,0.014659214702096976,0.4747649872791382,False
0.3,0.01,0.8,"0:1.0,1:6.0",0.7871765601217657,0.046116774878420315,0.11402279897082654,0.007307838158889183,0.19918854120893945,0.012597673831877598,0.67274378133538,0.022836604701302353,0.5020627389888117,0.010999322048082077,0.4490045593485472,False
0.3,0.01,0.2,"0:1.0,1:6.0",0.7623668188736682,0.04950933406968362,0.11958109382041089,0.008680295031785364,0.20672812207846594,0.01475015820755578,0.6729315943593771,0.029870964707617235,0.5396445262710664,0.012225015943496682,0.44487366850869514,False
0.3,0.01,0.5,"0:1.0,1:6.0",0.7595129375951293,0.0540274558772613,0.11441008591960429,0.009178012776107112,0.19885448920016652,0.015666063365681625,0.6701518633924487,0.025929240264243907,0.5183531605532739,0.015243838472641472,0.44020039773697117,False
0.3,0.1,0.8,"0:1.0,1:6.0",0.7318873668188737,0.04557866711665539,0.12063799687767893,0.01085173609449609,0.20711352790877333,0.017814419637744314,0.6774341785351223,0.032035256928087785,0.558324127838361,0.021116642306176787,0.43699092694929964,False
0.3,1.0,0.2,"0:1.0,1:6.0",0.7264079147640791,0.03794410191685323,0.1208645149924176,0.00922008112060136,0.20721134357692686,0.014956711241111241,0.6756252111695827,0.03244657916671729,0.5620190718972762,0.022740708026915708,0.43506638130547637,False
0.3,1.0,0.5,"0:1.0,1:6.0",0.7264079147640791,0.03794410191685323,0.12072961429945583,0.008866368685659268,0.20701451329132667,0.014418890981786626,0.6754517052362936,0.032389650915972235,0.5615845253269132,0.021924572304229128,0.4349487473741781,False
0.3,1.0,0.8,"0:1.0,1:6.0",0.7236301369863014,0.04123473852319761,0.12031712357061111,0.009058659424239451,0.2062926269313338,0.014804575315000264,0.6753275830387678,0.032569091995927356,0.5613673700608979,0.022294027227094233,0.4338069953291302,False
0.3,10.0,0.2,"0:1.0,1:6.0",0.7236681887366819,0.03967011320742793,0.1202652328315845,0.008935697954236193,0.20622126757891487,0.014586414290912168,0.6752531818331267,0.03274022962494539,0.561150686871548,0.021765473887510853,0.43377271809025475,False
0.3,10.0,0.8,"0:1.0,1:6.0",0.7236681887366819,0.03967011320742793,0.12025994746104247,0.008862373026483319,0.20621362549569427,0.014474744681035916,0.6752109646710254,0.03278976640336627,0.5611504508332154,0.021567065073181676,0.43376104279439387,False
0.3,10.0,0.5,"0:1.0,1:6.0",0.7236681887366819,0.03967011320742793,0.12020641314659661,0.008887967510040892,0.20613504003400468,0.014515256373592704,0.6752273237863246,0.0327741244302898,0.5609332955672002,0.0216110176778127,0.4337312846734198,False
0.3,0.1,0.5,"0:1.0,1:6.0",0.7180365296803652,0.04890075581565044,0.11990327555720388,0.010752835366514859,0.2054690395810114,0.017738698073924298,0.6777530095634821,0.03223883004759344,0.5624526743143087,0.02072602411468132,0.43230463960135984,False
0.3,0.1,0.2,"0:1.0,1:6.0",0.715296803652968,0.04574498597330133,0.12020696885894444,0.010041780592437573,0.2057989675765151,0.016522237962278672,0.6773413563589001,0.03207563027414179,0.5650601897748194,0.02079911562529939,0.4315587964765353,False
0.3,10.0,0.5,"0:1.0,1:4.0",0.5306316590563165,0.0721764323329294,0.13280670022555707,0.019403086304671677,0.2123895511914335,0.030413200912546918,0.675121022200144,0.032862208054428875,0.6899834773167163,0.019425334526395176,0.38051276501117137,False
0.3,10.0,0.8,"0:1.0,1:4.0",0.5306316590563165,0.0721764323329294,0.13280132906120423,0.019297182017130987,0.21238018345054738,0.03026212068208043,0.6750848806692813,0.03288423874385233,0.6899832412783835,0.01944464930090699,0.38050185197868913,False
0.3,10.0,0.2,"0:1.0,1:4.0",0.5278919330289192,0.07728400900422844,0.13208942774037108,0.020396280906024532,0.21125152114717957,0.032095689276944006,0.6751179182916272,0.032836139039736506,0.6895491667846858,0.019614816515250863,0.37922640078888886,False
0.3,1.0,0.2,"0:1.0,1:4.0",0.5223363774733637,0.07384829181525812,0.13204501247342704,0.019665566411647448,0.2107525435758097,0.030907251448480662,0.675434970282054,0.032258250803874025,0.6919383467875183,0.018483168004731026,0.3774872963107291,False
0.3,1.0,0.5,"0:1.0,1:4.0",0.5195966514459666,0.0729088318793338,0.13115314408263365,0.019315167891389824,0.20939646944456108,0.03038743901906321,0.6750693363914098,0.03256688566291349,0.6910697257234574,0.018038030874045336,0.37603026609387064,False
0.3,1.0,0.8,"0:1.0,1:4.0",0.5168188736681888,0.06434327648022664,0.13068071146148696,0.017556430630073127,0.20855562056947202,0.027369906423504654,0.6749187588004767,0.032573795646600956,0.6910692536467922,0.01843610866783154,0.37483849686829174,False
0.3,0.1,0.5,"0:1.0,1:4.0",0.48630136986301364,0.06959193382604206,0.12985320130322459,0.020509748856441135,0.20490101669497154,0.03154407195101319,0.6768419768699954,0.032464168247736624,0.7023622716329132,0.020621017800121738,0.36494736083245216,False
0.3,0.1,0.2,"0:1.0,1:4.0",0.48356164383561645,0.06816158861585292,0.12728225969695867,0.018634067687470602,0.20144414688117457,0.02899703437504433,0.6771277008269349,0.032475656494193636,0.6980170419676155,0.018767699837218026,0.3626756349606052,False
0.3,0.1,0.8,"0:1.0,1:4.0",0.4724885844748858,0.0727857975291611,0.12697740376251895,0.021706017769971893,0.20011888057502575,0.03341615662305657,0.675876754818493,0.03215443948661028,0.7021455884435632,0.019389203287007693,0.3586959973905505,False
